400,85,Lastings Milledge
401,85,Steven Pearce
402,85,Alex Castellanos
403,85,Aaron Luna
404,85,Jonathan Lucroy
405,85,Felix Pie
406,85,Ivan DeJesus
407,85,Adam Eaton
408,85,Chih-Hsien Chiang
409,85,Chad Huffman
410,85,Jonny Gomes
411,85,Val Pascucci
412,85,Mitch Maier
413,85,Wil Myers
414,85,John Baker
415,85,Ramon Santiago
416,84,Robbie Grossman
417,84,Placido Polanco
418,84,Blake Tekotte
419,84,Andy Dirks
420,84,Elvis Andrus
421,84,Matt McBride
422,84,Brad Snyder
423,84,Tyler Colvin
424,84,Stephen Vogt
425,84,Brooks Conrad
426,84,Oswaldo Arcia
427,84,Wes Timmons
428,84,Brian Cavazos-Galvez
429,84,Matt Diaz
430,84,Luis Valbuena
431,84,Ian Desmond
432,84,Terry Tiffee
433,84,Robinson Chirinos
434,84,Brad Emaus
435,84,Cliff Pennington
436,84,Jarrod Saltalamacchia
437,84,Justin Maxwell
438,84,Andy Marte
439,84,Hector Luna
440,84,Luis Montanez
441,84,Alfredo Silverio
442,84,Clint Barmes
443,84,Tyler Greene
444,84,Jason Donald
445,84,Marquez Smith
446,84,Tony Gwynn
447,83,Magglio Ordonez
448,83,Ruben Tejada
449,83,Mike Fontenot
450,83,Alcides Escobar
451,83,Drew Sutton
452,83,Josh Satin
453,83,David Cooper
454,83,Yamaico Navarro
455,83,Reed Johnson
456,83,Yangervis Solarte
457,83,Charlie Blackmon
458,83,Henry Blanco
459,83,Nick Johnson
460,83,Conor Jackson
461,83,Felipe Lopez
462,83,Steve Clevenger
463,83,Cory Vaughn
464,83,Logan Forsythe
465,83,Adam Kennedy
466,83,Lars Anderson
467,83,Nyjer Morgan
468,83,Josh Reddick
469,83,Joe Mahoney
470,83,Adron Chambers
471,83,Zelous Wheeler
472,83,Ezequiel Carrera
473,82,Don Kelly
474,82,Jason Michaels
475,82,Rick Ankiel
476,82,Tyler Pastornicky
477,82,Tyler Saladino
478,82,Franklin Gutierrez
479,82,Moises Sierra
480,82,Roger Bernadina
481,82,Jean Segura
482,82,Derek Jeter
483,82,Wily Mo Pena
484,82,Collin Cowgill
485,82,Jamey Carroll
486,82,Stefan Gartrell
487,82,Michael Olt
488,82,Mark Teahen
489,82,John Lindsey
490,82,Andrew Locke
491,82,Eric Sogard
492,82,Bryan Anderson
493,82,Dallas McPherson
494,82,Logan Schafer
495,82,Cody Ransom
496,82,Jay Gibbons
497,82,Josh Vitters
498,82,Joseph Thurston
499,82,Matt Antonelli
500,81,Chris Parmelee
501,81,Brandon Boggs
502,81,Jonathan Schoop
503,81,Jared Goedert
504,81,Francisco Peguero
505,81,Nate Spears
506,81,Matt Dominguez
507,81,Sea Bass Gonzalez
508,81,Geoff Blum
509,81,Casey Blake
510,81,Eduardo Nunez
511,81,Brian Dozier
512,81,Daniel Nava
513,81,Adrian Cardenas
514,81,Welington Castillo
515,81,Dioner Navarro
516,81,Tug Hulett
517,81,Ramon Cabrera
518,81,Emilio Bonifacio
519,81,Brent Morel
520,81,Bronson Sardinha
521,81,David Adams
522,81,Jeff Bailey
523,81,Sean Burroughs
524,81,Edgar Gonzalez
525,81,Jason Bourgeois
526,81,Xavier Paul
527,81,D.J. LeMahieu
528,80,Brandon Short
529,80,Eric Fryer
530,80,Gary Sanchez
531,80,Travis Ishikawa
532,80,Reese Havens
533,80,Kelly Shoppach
534,80,Matthew Davidson
535,80,Brad Nelson
536,80,Ryan Theriot
537,80,Jacob Goebbert
538,80,Brent Clevlen
539,80,Brandon Snyder
540,80,Brandon Snyder
541,80,Yuniesky Betancourt
542,80,Justin Sellers
543,80,Kyle Jensen
544,80,Jeff Baisley
545,80,Jack Hannahan
546,80,Jose Lobaton
547,80,Steve Hill
548,80,J.B. Shuck
549,80,Carlos Gomez
550,80,Ross Gload
551,80,Brandon Moss
552,80,Will Middlebrooks
553,80,Beau Mills
554,80,Derek Norris
555,79,Anthony Gose
556,79,Wilin Rosario
557,79,Gorman Erickson
558,79,Chris Nelson
559,79,Josh Bell
560,79,Jorge Padilla
561,79,Kevin Frandsen
